Festival_name,Tithi,Nakshatra,tamil_month,tamil_day,icon_file,Festival_en,Festival_ta,Festival_te,Festival_ka,Festival_hi,Festival_ml
Gokulashtami,8,4,5,,,Gokulashtami,கோகுலாஷ்டமி,గోకులాష్టమి,ಗೋಕುಲಾಷ್ಟಮಿ,गोकुल अष्टमी,ഗോകുലാഷ്ടമി
Krishna Jayanti,8,4,5,,,Krishna Jayanti,கிருஷ்ண ஜெயந்தி,కృష్ణ జయంతి,ಕೃಷ್ಣ ಜಯಂತಿ,कृष्ण जयन्ती,കൃഷ്ണ ജയന്തി
Janmashtami,8,4,5,,,Janmashtami,ஜென்மாஷ்டமி,జన్మాష్టమి,ಜನ್ಮಾಷ್ಟಮಿ,जनमाष्टमी,ജന്മാഷ്ടമി
Rama Navami,9,7,12,,,Rama Navami,ராம நவமி,రామ నవమి,ರಾಮ ನವಮಿ,रामनवमी,രാമ നവമി
Diwali (Deepavali),30,15,7,,,Diwali (Deepavali),தீபாவளி (தீபாவளி),దీపావళి (దీపావళి),ದೀಪಾವಳಿ (ದೀಪಾವಳಿ),दिवाली (दीपावली),ദീപാവലി (ദീപാവലി)
Vinayaka Chaturthi,4,22,5,,,Vinayaka Chaturthi,விநாயக சதுர்த்தி,వినాయక చతుర్థి,ವಿನಾಯಕ ಚತುರ್ಥಿ,विनायक चतुर्थी,വിനായക ചതുർത്ഥി
Navaratri Begins,1,1,6,,,Navaratri Begins,நவராத்திரி ஆரம்பம்,నవరాత్రి ప్రారంభం,ನವರಾತ್ರಿ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ,नवरात्रि प्रारंभ,നവരാത്രി ആരംഭിക്കുന്നു
Vijayadashami,10,19,6,,,Vijayadashami,விஜயதசமி,విజయదశమి,ವಿಜಯದಶಮಿ,विजयादशमी,വിജയദശമി
Pongal,,,10,1,,Pongal,பொங்கல்,పొంగల్,ಪೊಂಗಲ್,पोंगल,പൊങ്കൽ
Maha Shivaratri,14,24,11,,,Maha Shivaratri,மகா சிவராத்திரி,మహా శివరాత్రి,ಮಹಾ ಶಿವರಾತ್ರಿ,महा शिवरात्रि,മഹാ ശിവരാത്രി
Holi,15,11,11,,,Holi,ஹோலி,హోలీ,ಹೋಳಿ,होली,ഹോളി
Raksha Bandhan,15,22,5,,,Raksha Bandhan,ரக்ஷா பந்தன்,రక్షా బంధన్,ರಕ್ಷಾ ಬಂಧನ,रक्षाबंधन,രക്ഷാ ബന്ധൻ
Saraswati Puja,5,25,10,,,Saraswati Puja,சரஸ்வதி பூஜை,సరస్వతీ పూజ,ಸರಸ್ವತಿ ಪೂಜೆ,सरस्वती पूजा,സരസ്വതി പൂജ
Skanda Sashti,6,16,7,,,Skanda Sashti,ஸ்கந்த சஷ்டி,స్కంద షష్ఠి,ಸ್ಕಂದ ಷಷ್ಠಿ,स्कंद षष्ठी,സ്കന്ദ ഷഷ്ഠി
Karthigai Deepam,15,3,8,,,Karthigai Deepam,கார்த்திகை தீபம்,కార్తిగై దీపం,ಕಾರ್ತಿಗೈ ದೀಪಂ,कार्तिगाई दीपम,കാർത്തിഗൈ ദീപം
Aadi Perukku,,,4,18,,Aadi Perukku,ஆடி பெருக்கு,ఆది పెరుక్కు,ಆದಿ ಪೆರುಕ್ಕು,आदि पेरुक्कु,ആടി പെരുക്ക്
Thai Poosam,,8,10,,,Thai Poosam,தை பூசம்,థాయ్ పూసం,ಥಾಯ್ ಪೂಸಂ,थाई पूसम,തായ് പൂസം
Chitra Pournami,15,14,1,,,Chitra Pournami,சித்ரா பௌர்ணமி,చిత్ర పౌర్ణమి,ಚಿತ್ರ ಪೌರ್ಣಮಿ,चित्रा पूर्णिमा,ചിത്ര പൗർണമി
Vaikunta Ekadasi,11,,9,,,Vaikunta Ekadasi,வைகுண்ட ஏகாதசி,వైకుంట ఏకాదశి,ವೈಕುಂಠ ಏಕಾದಶಿ,वैकुंठ एकादशी,വൈകുണ്ഠ ഏകാദശി
Arudra Darshan,,6,9,,,Arudra Darshan,ஆருத்ரா தரிசனம்,ఆరుద్ర దర్శనం,ಆರುದ್ರ ದರ್ಶನ,अरुद्र दर्शन,ആരുദ്ര ദർശനം
Varalakshmi Vratam,15,,4,,,Varalakshmi Vratam,வரலக்ஷ்மி விரதம்,వరలక్ష్మీ వ్రతం,ವರಲಕ್ಷ್ಮೀ ವ್ರತ,वरलक्ष्मी व्रतम्,വരലക്ഷ്മി വ്രതം
Ayyappa Mandala Pooja,,,8,,,Ayyappa Mandala Pooja,ஐயப்ப மண்டல பூஜை,అయ్యప్ప మండల పూజ,ಅಯ್ಯಪ್ಪ ಮಂಡಲ ಪೂಜೆ,अय्यप्पा मंडल पूजा,അയ്യപ്പ മണ്ഡല പൂജ
Hanuman Jayanti,15,26,1,,,Hanuman Jayanti,அனுமன் ஜெயந்தி,హనుమాన్ జయంతి,ಹನುಮ ಜಯಂತಿ,हनुमान जयंती,ഹനുമാൻ ജയന്തി
Ugadi,1,1,1,1,,Ugadi,உகாதி,ఉగాది,ಯುಗಾದಿ,उगादी,ഉഗാദി
Vasant Panchami,5,25,10,,,Vasant Panchami,வசந்த பஞ்சமி,వసంత పంచమి,ವಸಂತ ಪಂಚಮಿ,वसंत पंचमी,വസന്ത പഞ്ചമി
Guru Purnima,15,22,4,,,Guru Purnima,குரு பூர்ணிமா,గురు పూర్ణిమ,ಗುರು ಪೂರ್ಣಿಮೆ,गुरु पूर्णिमा,ഗുരു പൂർണിമ
Onam,,22,5,,,Onam,ஓணம்,ఓనం,ಓಣಂ,ओणम,ഓണം
Makar Sankranti,,,9,1,,Makar Sankranti,மகர சங்கராந்தி,మకర సంక్రాంతి,ಮಕರ ಸಂಕ್ರಾಂತಿ,मकर संक्रांति,മകര സംക്രാന്തി
Bhai Dooj,2,,7,,,Bhai Dooj,பாய் தூஜ்,భాయ్ దూజ్,ಭಾಯಿ ದೂಜ್,भाई दूज,ഭായ് ദൂജ്
Govardhan Puja,1,,7,,,Govardhan Puja,கோவர்தன் பூஜை,గోవర్ధన్ పూజ,ಗೋವರ್ಧನ ಪೂಜೆ,गोवर्धन पूजा,ഗോവർദ്ധൻ പൂജ
Durga Ashtami,8,,6,,,Durga Ashtami,துர்கா அஷ்டமி,దుర్గా అష్టమి,ದುರ್ಗಾ ಅಷ್ಟಮಿ,दुर्गा अष्टमी,ദുർഗ്ഗാഷ്ടമി
Lakshmi Puja,14,,7,,,Lakshmi Puja,லட்சுமி பூஜை,లక్ష్మీ పూజ,ಲಕ್ಷ್ಮೀ ಪೂಜೆ,लक्ष्मी पूजा,ലക്ഷ്മി പൂജ
Sharad Purnima,15,,6,,,Sharad Purnima,ஷரத் பூர்ணிமா,శరద్ పూర్ణిమ,ಶರದ್ ಪೂರ್ಣಿಮಾ,शरद पूर्णिमा,ശരദ് പൂർണിമ
Mahalaya Amavasya,30,,6,,,Mahalaya Amavasya,மஹாளய அமாவாசை,మహాలయ అమావాస్య,ಮಹಾಲಯ ಅಮಾವಾಸ್ಯೆ,महालया अमावस्या,മഹാലയ അമാവാസി
Ratha Saptami,7,,11,,,Ratha Saptami,ரத சப்தமி,రథ సప్తమి,ರಥ ಸಪ್ತಮಿ,रथ सप्तमी,രഥ സപ്തമി
Narasimha Jayanti,14,,2,,,Narasimha Jayanti,நரசிம்ம ஜெயந்தி,నరసింహ జయంతి,ನರಸಿಂಹ ಜಯಂತಿ,नरसिम्हा जयंती,നരസിംഹ ജയന്തി
Buddha Purnima,15,,2,,,Buddha Purnima,புத்த பூர்ணிமா,బుద్ధ పూర్ణిమ,ಬುದ್ಧ ಪೂರ್ಣಿಮೆ,बुद्ध पूर्णिमा,ബുദ്ധ പൂർണിമ
